region;filial;basic_station;range;standard;work_type;sign;contractor;position_approved_plan;position_approved_fact;access_to_equipment_plan;access_to_equipment_fact;data_for_bs_plan;data_for_bs_fact;equipment_purchase_application_plan;equipment_purchase_application_fact;equipment_order_plan;equipment_order_fact;rent_contract_plan;rent_contract_fact;proj_work_begin_plan;proj_work_begin_fact;layout_agreed_plan;layout_agreed_fact;build_work_begin_plan;build_work_begin_fact;build_work_end_plan;build_work_end_fact;equipment_supplied_plan;equipment_supplied_fact;contractor_got_equip_plan;contractor_got_equip_fact;eqiup_for_bs_installed_fact;integration_to_net_forecast;integration_to_net_plan;integration_to_net_fact
R1;А1;БС1673;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;26.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;10.06.2022;02.08.2022;25.08.2022;21.08.2022;26.09.2022;20.09.2022;;25.11.2022;30.09.2022;05.12.2022;;24.09.2022;27.10.2022;15.12.2022;
R1;А1;БС1675;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;26.05.2022;02.08.2022;13.07.2022;21.08.2022;08.08.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;26.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1676;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;28.05.2022;02.08.2022;01.07.2022;21.08.2022;08.08.2022;20.09.2022;;25.11.2022;12.08.2022;05.12.2022;;08.08.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1678;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;25.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;14.06.2022;02.08.2022;09.08.2022;21.08.2022;08.09.2022;20.09.2022;;25.11.2022;12.08.2022;05.12.2022;;08.08.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1679;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;28.05.2022;02.08.2022;01.07.2022;21.08.2022;08.08.2022;20.09.2022;;25.11.2022;04.08.2022;05.12.2022;;28.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1680;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;13.06.2022;17.07.2022;14.06.2022;16.07.2022;26.05.2022;30.07.2022;;13.08.2022;;06.08.2022;15.06.2022;17.07.2022;20.06.2022;02.08.2022;10.07.2022;21.08.2022;01.07.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;07.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1681;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;28.05.2022;02.08.2022;11.06.2022;21.08.2022;08.09.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;26.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1682;2100;4G;Модернизация;Въезд;ПО2;02.07.2022;17.05.2022;17.07.2022;18.05.2022;16.07.2022;21.05.2022;30.07.2022;;13.08.2022;;06.08.2022;19.05.2022;17.07.2022;30.05.2022;02.08.2022;11.06.2022;21.08.2022;08.08.2022;20.09.2022;;25.11.2022;29.07.2022;05.12.2022;;27.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1683;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;13.06.2022;17.07.2022;14.06.2022;16.07.2022;22.05.2022;30.07.2022;;13.08.2022;;06.08.2022;15.06.2022;17.07.2022;20.06.2022;02.08.2022;07.07.2022;21.08.2022;01.07.2022;20.09.2022;;25.11.2022;14.07.2022;05.12.2022;;06.07.2022;27.10.2022;15.12.2022;17.10.2022
R1;А1;БС1684;2100;4G;Модернизация;Въезд;ПО21;02.07.2022;25.04.2022;17.07.2022;26.04.2022;16.07.2022;25.05.2022;30.07.2022;;13.08.2022;;06.08.2022;27.04.2022;17.07.2022;10.06.2022;02.08.2022;25.08.2022;21.08.2022;14.09.2022;20.09.2022;;25.11.2022;30.09.2022;05.12.2022;;21.09.2022;27.10.2022;15.12.2022;17.10.2022
